BILLING_ID,COUPON_ID,DELIVERY_ID,TIP_DETAILS,PAYMENT_METHOD,TRANSACTION_STATUS,NET_TOTAL,CONVENIENCE_FEE,ORDER_DELIVERY_CHARGE,PAYMENT_TXN_ID,IS_BANK_DISCOUNT,SAVINGS_SHOWN_TO_CUSTOMER,TOTAL_TAX,ORDER_ID
122658738,52664f26-ae99-49fe-a33e-a3ab5f904475,122658738,PRE_ORDER_TIPPING,Credit/Debit card,success,725.0000,0.0000,31.0000,123259038182,TRUE,TRUE,39,123259038182
122658738,6863aece-d8cc-4788-a1f1-9ef92133d56d,122658738,PRE_ORDER_TIPPING,Cash,success,246.0000,0.0000,26.0000,122393778537,FALSE,TRUE,0,122393778537
239351347,5740375d-840b-4308-aa49-6d0dffcb68c0,239351347,PRE_ORDER_TIPPING,Bank,success,171.0000,0.0000,31.0000,121012599888,FALSE,TRUE,0,121012599888
239351347,f4e9373a-4f9a-48ff-be7e-dc3722cd75a9,239351347,PRE_ORDER_TIPPING,Bank,success,127.0000,0.0000,31.0000,119802669755,FALSE,TRUE,6,119802669755
239351347,f711d478-1f91-4b73-9397-5700cab57c8c,239351347,PRE_ORDER_TIPPING,AmazonPay,success,246.0000,0.0000,26.0000,117816261900,FALSE,TRUE,0,117816261900
52249644,648aa56a-395b-470e-ac5e-e3a77c8db264,52249644,PRE_ORDER_TIPPING,Cash,success,139.0000,0.0000,31.0000,116610137698,FALSE,TRUE,8,116610137698
169530622,cd18032d-e1c5-439a-bcad-b32ea58cf8c6,169530622,PRE_ORDER_TIPPING,Bank,success,129.0000,0.0000,49.0000,120384129271,FALSE,TRUE,5,120384129271
169530622,fb623845-a8cf-4bf7-aa7d-2122c9e03fed,169530622,,Credit/Debit card,success,372.0000,0.0000,0.0000,116765717616,FALSE,TRUE,20,116765717616
206670996,d9dac219-d38c-4e63-92cb-f9abe57e9295,206670996,,Credit/Debit card,success,402.0000,0.0000,0.0000,116699815648,TRUE,TRUE,20,116699815648
205033214,088c6f8f-311c-4403-ab6d-3896c23b0ec9,205033214,PRE_ORDER_TIPPING,Bank,success,213.0000,0.0000,18.0000,100796405044,TRUE,TRUE,0,100796405044
182217283,dcfbce7e-5d18-4dae-9269-f776072e7cea,182217283,PRE_ORDER_TIPPING,Credit/Debit card,success,158.0000,0.0000,18.0000,85334730899,TRUE,TRUE,0,85334730899
256516444,b40d07ee-55f0-428f-8bea-5b203a114a30,256516444,PRE_ORDER_TIPPING,Bank,success,143.0000,0.0000,19.0000,124643343951,FALSE,TRUE,9,124643343951
241794167,5a9f6ffa-a381-426d-8eba-350eb5f490bc,241794167,PRE_ORDER_TIPPING,Cash,success,206.0000,0.0000,23.0000,118823389614,FALSE,TRUE,8,118823389614
67104704,bb421b37-f199-4369-9c9b-5dcbe7916bb8,67104704,PRE_ORDER_TIPPING,Credit/Debit card,success,305.0000,0.0000,45.0000,97526710653,TRUE,TRUE,17,97526710653
67104704,aabb34df-d541-459e-8ac8-c52350c869b2,67104704,PRE_ORDER_TIPPING,Credit/Debit card,success,221.0000,15.0000,30.0000,96394374304,TRUE,TRUE,8,96394374304
143170267,51e60993-234a-4571-8486-d1650c39cc92,143170267,,PhonePe,success,293.0000,0.0000,10.0000,57661403432,FALSE,TRUE,14,57661403432
237576496,465bc164-4c7c-4f5f-81a5-a4568f423e58,237576496,PRE_ORDER_TIPPING,PhonePe,success,117.0000,0.0000,26.0000,117102487508,FALSE,TRUE,5,117102487508
56378909,7146fc95-f5dc-420c-8e5a-e528ee881fa2,56378909,PRE_ORDER_TIPPING,PhonePe,success,328.0000,0.0000,28.0000,116173959197,FALSE,TRUE,16,116173959197
201377587,63e57bae-0a15-40c5-9386-777a9c1590f0,201377587,PRE_ORDER_TIPPING,PhonePe,success,146.0000,0.0000,22.0000,98262453796,TRUE,TRUE,0,98262453796
56378909,a3ddf932-ec5c-4414-b690-971b5a2d1980,56378909,PRE_ORDER_TIPPING,PhonePe,success,269.0000,0.0000,25.0000,87749900571,TRUE,TRUE,16,87749900571
253072989,38782773-78bb-44b9-9d26-33835bafa58b,253072989,PRE_ORDER_TIPPING,PhonePe,success,137.0000,0.0000,24.0000,123515973842,FALSE,TRUE,5,123515973842
199428396,6d9da159-8172-4324-9604-fd8c830c35a0,199428396,PRE_ORDER_TIPPING,PhonePe,success,121.0000,0.0000,26.0000,97582142019,TRUE,TRUE,6,97582142019
67104704,00457cd9-0030-485f-83ab-f0ad4aaefd36,67104704,,PhonePe,success,273.0000,0.0000,25.0000,56475064629,FALSE,TRUE,13,56475064629
117661319,d0d7e275-b106-4e01-a584-638aa6c6be48,117661319,,Bank,success,245.0000,0.0000,45.0000,55322225242,FALSE,TRUE,0,55322225242
219814134,0c7d8e1c-0920-4c4f-aaae-c7f6e00b888c,219814134,PRE_ORDER_TIPPING,Cash,success,169.0000,0.0000,30.0000,111946661980,FALSE,TRUE,0,111946661980
219814134,4636fb4c-9c95-45d3-b446-a6c1210f89a8,219814134,PRE_ORDER_TIPPING,Cash,success,136.0000,0.0000,30.0000,110129017550,FALSE,TRUE,0,110129017550
219814134,28d4cc04-36b7-456c-b492-ed69c47f03ea,219814134,PRE_ORDER_TIPPING,Cash,success,125.0000,0.0000,45.0000,108881424110,FALSE,TRUE,0,108881424110
214771302,f479bc71-ac76-48ba-abaf-65c169a81d6d,214771302,PRE_ORDER_TIPPING,Cash,success,166.0000,0.0000,23.0000,106298081186,FALSE,TRUE,8,106298081186
195580939,1d7a206d-d1b1-4ab6-a556-e9948db6a68d,195580939,PRE_ORDER_TIPPING,Cash,refund-initiated,313.0000,0.0000,18.0000,94389310745,TRUE,,0,94389310745
13175913,41ae9c72-25f0-4120-b871-25a5693db415,13175913,PRE_ORDER_TIPPING,Bank,success,191.0000,0.0000,31.0000,109177036655,FALSE,TRUE,10,109177036655
105528627,c5e41f00-2eb1-4324-9b63-9391d717916f,105528627,,Bank,success,201.0000,0.0000,25.0000,59813690952,FALSE,TRUE,10,59813690952
105528627,65df5a2d-7da8-4204-ab7b-e2df91a6a271,105528627,,Bank,success,272.0000,0.0000,25.0000,53947865854,FALSE,TRUE,17,53947865854
237658375,75b81b99-5858-40ba-96b8-96abc3f6abfb,237658375,PRE_ORDER_TIPPING,Bank,success,114.0000,0.0000,19.0000,127401456210,FALSE,TRUE,5,127401456210
237658375,75b81b99-5858-40ba-96b8-96abc3f6abfb,237658375,PRE_ORDER_TIPPING,Bank,success,93.0000,0.0000,19.0000,127317172852,FALSE,TRUE,4,127317172852
237658375,ac550a70-83d6-42ae-95a2-4317cc281cf2,237658375,PRE_ORDER_TIPPING,Bank,refund-initiated,89.0000,0.0000,19.0000,127217258154,FALSE,,4,127217258154
237658375,c66d777e-9c58-4306-9bf5-8d81c6c71daa,237658375,PRE_ORDER_TIPPING,Bank,success,85.0000,0.0000,19.0000,127065040993,FALSE,TRUE,4,127065040993
237658375,75b81b99-5858-40ba-96b8-96abc3f6abfb,237658375,PRE_ORDER_TIPPING,Bank,success,87.0000,0.0000,19.0000,126881102588,FALSE,TRUE,3,126881102588
237658375,75b81b99-5858-40ba-96b8-96abc3f6abfb,237658375,PRE_ORDER_TIPPING,Bank,success,114.0000,0.0000,19.0000,126809434410,FALSE,TRUE,5,126809434410
237658375,1a1a584a-b2c6-461c-9688-608b72d3752f,237658375,PRE_ORDER_TIPPING,Bank,success,91.0000,0.0000,19.0000,126769176676,FALSE,TRUE,4,126769176676
237658375,5c8db214-00d9-4667-8e83-ff8c11969a27,237658375,PRE_ORDER_TIPPING,Bank,success,83.0000,0.0000,19.0000,126621523454,FALSE,TRUE,4,126621523454
237658375,5c8db214-00d9-4667-8e83-ff8c11969a27,237658375,PRE_ORDER_TIPPING,Bank,success,79.0000,0.0000,19.0000,126538381810,FALSE,TRUE,4,126538381810
237658375,5c8db214-00d9-4667-8e83-ff8c11969a27,237658375,PRE_ORDER_TIPPING,Bank,success,79.0000,0.0000,19.0000,126364290550,FALSE,TRUE,4,126364290550
237658375,5c8db214-00d9-4667-8e83-ff8c11969a27,237658375,PRE_ORDER_TIPPING,Bank,success,74.0000,0.0000,19.0000,126291172987,FALSE,TRUE,3,126291172987
