RESTAURANT_ID,RESTAURANT_CUISINE,SHOW_RATE_US,RATING,RESTAURANT_LAT,RESTAURANT_LNG,RESTAURANT_CUSTOMER_DISTANCE,RESTAURANT_AREA_NAME,RESTAURANT_NAME,RESTAURANT_ADDRESS,RESTAURANT_CITY_NAME,STATE
149170,"[""Desserts"",""Bakery"",""Ice Cream""]",TRUE,0,23.01398900000000000000,72.52867400000002000000,4,Shyamal,Dangee Dums Yums,"15, Shangrila Arcade, Anandnagar , Prahlad nagar road, Shyamal Crossroads,Beside Saraswat Bank, Satellite area",Ahmedabad,Gujarat
37581,"[""Sweets"",""North Indian"",""Chaat"",""Snacks"",""Bakery"",""Desserts"",""Beverages""]",TRUE,0,23.01191200000000000000,72.51161100000002000000,3,Prahlad Nagar,Gwalia Sweets & Fast Food,"5, Venus Atlantis, Beside Shell Petrol Pump, Prahlad Nagar, Ahmedabad",Ahmedabad,Gujarat
43156,"[""Pizzas"",""Beverages"",""Snacks"",""Pastas"",""Combo"",""Desserts"",""Cafe"",""Chaat"",""Indian"",""Fast Food"",""Juices""]",TRUE,0,23.02899420000000000000,72.47762020000000000000,5,Ambli,New Freeze Land,"Shop No 18/19 & 27/28, Amrapali Shopping Mall, Sp Ring road, Bopal, Ahmedabad",Ahmedabad,Gujarat
291630,"[""Combo"",""Chinese"",""Indian"",""North Indian"",""Biryani"",""Beverages"",""Desserts"",""Sweets"",""Pan-Asian"",""Mexican"",""Juices"",""Continental"",""Asian""]",TRUE,0,23.04310330000000000000,72.52043260000000000000,6,Bodakdev,Meals101,"F.F-10, PRIME PLAZA, OPP. DLA SCHOOL, BODAKDEV, AHMEDABAD., District - Ahmedabad Municipal Corporation, STATE - Gujarat -380054",Ahmedabad,Gujarat
51684,"[""Fast Food"",""Chinese""]",TRUE,0,23.03567250000000000000,72.51561810000000000000,5,Bodakdev,Prince Bhajipav,"Rudra Plaza, Judges Bungalow Road, Bodakdev, Ahmedabad",Ahmedabad,Gujarat
37932,"[""Fast Food"",""Combo"",""Snacks""]",TRUE,5,23.01166570000000000000,72.51534080000000000000,3,Prahlad Nagar,Faasos - Wraps & Rolls,"Shop 17, First Floor, Dev Arum building, Shyamal Prahladnagar road, Vejalpur, Ahmedabad 380015",Ahmedabad,Gujarat
37932,"[""Fast Food"",""Combo"",""Snacks""]",TRUE,0,23.01166570000000000000,72.51534080000000000000,3,Prahlad Nagar,Faasos - Wraps & Rolls,"Shop 17, First Floor, Dev Arum building, Shyamal Prahladnagar road, Vejalpur, Ahmedabad 380015",Ahmedabad,Gujarat
381585,[""Italian""],TRUE,0,23.01153200000000000000,72.50581400000000000000,2,Vastrapur,La Milano Pizzeria,"GF 7&8, Pushpak Commercial Complex, Opp. AUDA Garden, Prahladnagar",Ahmedabad,Gujarat
36976,[""Pizzas""],TRUE,0,23.02839800000000000000,72.54231700000000000000,0,Navrangpura,Domino's Pizza,"5, Ground Floor, Shivalik Plaza, Opposite Ahmedabad Management Association, IIM Road, Vastrapur, Ahmedabad",Ahmedabad,Gujarat
37934,"[""Fast Food"",""North Indian""]",FALSE,0,23.02730300000000000000,72.55698100000000000000,3,Navrangpura,Faasos,"G.F. 01, ANIMESH COMPLEX, PANCHVATI ELLIS BRIDGE, NEAR CHANDRA COLONY, AHMEDABAD, GUJARAT",Ahmedabad,Gujarat
